normalized_url,total_hits,unique_ips,php
/wordpress,9,9,0
/courses/leading-for-sustainability-and-profitability,9,9,0
/courses/cross-connection-control-surveying,9,9,0
/courses/hazard-identification-laboratory-and-research-operations,9,8,0
/online-graduate-programs/capstone-certificates/polymer-processing-manufacturing/-capstone-certifica,9,9,0
/atomlib.php,9,9,9
/courses/page/22,9,9,0
/p.php,9,6,9
/bypass.php,9,9,9
/courses/using-tpem-to-improve-total-productive-maintenance-performance,9,9,0
/8xyz.php,9,8,9
/wp-content/wp-conflg.php,9,4,9
/nc4.php,9,4,9
/courses/engineering-economic-analysis-and-management,9,9,0
/goods.php,9,8,9
/ahax.php,9,5,9
/lufix.php,9,7,9
/wso.php,8,4,8
/courses/5s-sort,8,8,0
/gm.php,8,4,8
/wp-content/plugins/fix/up.php,8,7,8
/bless.php,8,6,8
/blog,8,8,0
/bnn_.php,8,5,8
/wsd.php,8,5,8
/blog-verify,8,2,0
/online-graduate-programs/capstone-certificates/applied-engineering-management/how-to-apply-aem,8,8,0
/png.php,8,4,8
/program-specialty/ammonia-refrigeration/page/2,8,5,0
/program-specialty/leadership-and-management/page/3,8,8,0
/program-specialty/leadership/page/21,8,8,0
/program-specialty/leadership/page/5,8,8,0
/terms-of-service,8,4,0
/terms,8,4,0
/edit-tags.php,8,7,8
/makeasmtp.php,8,8,8
/courses/advanced-si-performance-and-combustion,8,8,0
/courses/predictive-maintenance-technologies-and-utilization,8,8,0
/courses/preventive-maintenance-optimization-2,8,8,0
/courses/legal-aspects-of-engineering-public-works-and-construction,8,8,0
/courses/overview-of-preventive-maintenance-optimization,8,8,0
/courses/performance-testing-of-blowers-for-wastewater-and-industrial-applications,8,8,0
/courses/pilot-plant-equipment-1-fundamentals-for-proper-selection,8,8,0
/instructor/steudel-harry,8,8,0
/courses/pilot-plant-equipment-2-safe-installation-and-operation,8,8,0
/wp-admin/js/about.php,8,4,8
/courses/foundations-of-signal-processing-for-engineers-and-data-scientists,8,8,0
/courses/the-commissioning-process-for-leed-projects,8,8,0
/log.php,8,7,8
/courses/reducing-lead-times-for-high-mix-and-custom-product-supply-chains,8,8,0
/lock360.php,8,5,8
/wp-2019.php,8,5,8
/wp-admin/class-db.php,8,5,8
/courses/principles-for-sustainability-for-engineered-works-case-studies-impacting-water-habitat-ene,7,5,0
/wp-miiss.php.php,7,4,7
/online-graduate-programs/masters-degrees/engineering-management/advisory-board,7,7,0
/online-graduate-programs/masters-degrees/engineering-management/epd-613-international-engineering-s,7,7,0
/courses/si-engine-performance,7,7,0
/apple-touch-icon-152x152.png,7,5,0
/test.php,7,3,7
/apple-touch-icon-152x152-precomposed.png,7,5,0
/wp-content/uploads/admin.php,7,2,7
/app/uploads/2015/08/coursesearch1.jpg,7,2,0
/wp-includes/IXR/moon.php,7,3,7
/backup,7,7,0
/166.php,7,5,7
/courses/the-commissioning-processes-for-lighting-control-systems,7,7,0
/h.php,7,3,7
/courses/laser-welding-mastering-the-technology,7,7,0
/luxe.php,7,3,7
/mds.php,7,3,7
